Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,64.690002,64.699997,63.169998,63.750000,63.001003,11249900
2021-01-05,63.680000,63.790001,62.480000,62.959999,62.220284,11005700
2021-01-06,62.270000,63.349998,61.910000,62.570000,62.071476,8685400
2021-01-07,62.849998,63.740002,62.849998,63.070000,62.567493,7382800
2021-01-08,63.180000,63.540001,62.910000,63.380001,62.875023,7751700
2021-01-11,62.950001,63.570000,62.840000,63.029999,62.527809,6284700
2021-01-12,63.000000,63.020000,62.180000,62.419998,61.922668,7758200
2021-01-13,62.320000,62.590000,61.970001,62.060001,61.565544,8298000
2021-01-14,62.070000,62.169998,61.509998,61.599998,61.109203,10258600
2021-01-15,61.599998,62.000000,61.209999,61.779999,61.287769,7532600
2021-01-19,62.099998,62.290001,61.099998,61.290001,60.801674,8903400
2021-01-20,61.369999,62.029999,61.150002,61.560001,61.069527,7025000
2021-01-21,61.650002,61.849998,60.919998,61.209999,60.722313,6943600
2021-01-22,60.939999,61.150002,59.740002,60.360001,59.879086,9896700
2021-01-25,60.380001,60.950001,59.770000,60.900002,60.414783,8524700
2021-01-26,61.060001,62.040001,60.840000,61.799999,61.307613,8186500
2021-01-27,61.400002,63.180000,61.369999,62.549999,62.051640,14789000
2021-01-28,62.549999,63.240002,61.169998,61.220001,60.732235,11166400
2021-01-29,61.160000,61.500000,60.209999,60.430000,59.948528,11451800
2021-02-01,60.919998,62.009998,60.740002,61.509998,61.019920,10553500
2021-02-02,61.880001,62.919998,61.799999,62.369999,61.873070,10528000
2021-02-03,62.180000,62.750000,61.980000,62.169998,61.674664,9933500
2021-02-04,62.480000,63.389999,62.250000,63.349998,62.845261,9928700
2021-02-05,63.500000,64.070000,63.279999,63.599998,63.093269,9170200
2021-02-08,63.790001,63.869999,62.840000,63.110001,62.607174,7003400
2021-02-09,63.080002,63.849998,62.910000,63.669998,63.162712,5437400
2021-02-10,63.840000,63.900002,62.930000,63.270000,62.765900,9577500
2021-02-11,63.560001,63.970001,62.279999,62.700001,62.200443,7690800
2021-02-12,62.320000,63.119999,62.310001,63.080002,62.577415,6663400
2021-02-16,63.110001,63.259998,62.099998,62.139999,61.644905,7526000
2021-02-17,61.830002,62.150002,61.360001,62.090000,61.595303,6244500
2021-02-18,61.810001,62.209999,61.660000,62.070000,61.575462,6262400
2021-02-19,62.259998,62.360001,61.080002,61.130001,60.642952,10905100
2021-02-22,62.849998,64.970001,62.279999,64.449997,63.936493,20940300
2021-02-23,64.419998,65.220001,64.050003,64.500000,63.986099,18175400
2021-02-24,64.489998,65.150002,64.080002,64.699997,64.184502,10609300
2021-02-25,64.639999,66.360001,64.580002,65.300003,64.779724,15356100
2021-02-26,65.540001,66.279999,64.500000,64.510002,63.996025,20512600
2021-03-01,64.949997,66.730003,64.769997,66.169998,65.642792,11758900
2021-03-02,66.150002,67.419998,66.000000,66.660004,66.128891,13282000
2021-03-03,66.250000,67.540001,66.199997,66.910004,66.376900,15827600
2021-03-04,66.680000,67.309998,65.309998,65.610001,65.087257,19951100
2021-03-05,67.309998,71.720001,67.309998,69.970001,69.412514,34211500
2021-03-08,70.470001,72.940002,70.099998,72.160004,71.585075,23300500
2021-03-09,72.400002,73.220001,72.000000,72.639999,72.061249,17296400
2021-03-10,73.500000,73.620003,71.500000,72.120003,71.545387,21378600
2021-03-11,67.650002,68.099998,65.430000,67.410004,66.872917,38095400
2021-03-12,66.959999,67.870003,66.449997,67.160004,66.624908,11606300
2021-03-15,66.949997,67.779999,66.900002,67.730003,67.190369,8919600
2021-03-16,68.000000,68.070000,66.680000,66.849998,66.317375,14512500
2021-03-17,66.800003,66.849998,66.160004,66.220001,65.692398,11892400
2021-03-18,66.470001,67.010002,66.089996,66.739998,66.208252,13750300
2021-03-19,66.790001,66.830002,65.959999,66.260002,65.732079,30963600
2021-03-22,66.220001,66.519997,65.860001,66.320000,65.791595,10263700
2021-03-23,66.330002,67.940002,66.330002,67.269997,66.734024,12390100
2021-03-24,67.110001,67.410004,66.739998,66.830002,66.297531,11391100
2021-03-25,66.959999,68.730003,66.760002,68.629997,68.083191,14844700
2021-03-26,68.570000,70.370003,68.279999,70.250000,69.690285,12617000
2021-03-29,70.209999,72.330002,70.169998,71.129997,70.563271,15183700
2021-03-30,70.830002,71.050003,69.949997,70.550003,69.987900,12000200
2021-03-31,70.699997,71.099998,69.910004,70.169998,69.610924,9971700
2021-04-01,70.459999,71.830002,70.330002,71.809998,71.237854,13228700
2021-04-05,72.190002,74.900002,72.059998,74.160004,73.569145,25010200
2021-04-06,73.620003,74.650002,73.160004,74.279999,73.688179,14699800
2021-04-07,73.599998,74.180000,73.449997,74.070000,73.797775,12356800
2021-04-08,74.269997,75.529999,74.150002,75.279999,75.003326,13507700
