Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,135.000000,135.919998,134.770004,135.419998,124.142937,3148600
2020-01-03,133.570007,134.860001,133.559998,134.339996,123.152855,2373700
2020-01-06,133.419998,134.240005,133.199997,134.100006,122.932846,2425500
2020-01-07,133.690002,134.960007,133.399994,134.190002,123.015358,3090800
2020-01-08,134.509995,135.860001,133.919998,135.309998,124.042076,4346000
2020-01-09,135.740005,136.789993,135.309998,136.740005,125.353020,3730600
2020-01-10,137.000000,137.869995,136.309998,136.690002,125.307167,3255400
2020-01-13,135.479996,136.639999,135.070007,136.600006,125.224678,3531000
2020-01-14,136.279999,137.139999,135.550003,135.820007,124.509621,3681000
2020-01-15,136.000000,138.059998,135.710007,136.619995,125.242996,4045900
2020-01-16,137.320007,138.190002,137.009995,137.979996,126.489731,4320900
2020-01-17,136.539993,138.330002,136.160004,138.309998,126.792267,5623300
2020-01-21,137.809998,139.350006,137.600006,139.169998,127.580643,7244100
2020-01-22,143.320007,145.789993,142.550003,143.889999,131.907593,16470400
2020-01-23,144.199997,144.410004,142.149994,142.869995,130.972534,5657800
2020-01-24,143.389999,143.919998,140.460007,140.559998,128.854889,5580200
2020-01-27,138.500000,140.070007,138.100006,138.619995,127.076454,4166600
2020-01-28,139.500000,140.470001,138.750000,139.550003,127.929008,3451600
2020-01-29,139.169998,139.580002,137.600006,137.690002,126.223907,3053800
2020-01-30,136.759995,136.970001,134.970001,136.770004,125.380493,5057900
2020-01-31,142.899994,144.050003,140.789993,143.729996,131.760895,18994600
2020-02-03,144.250000,147.279999,143.899994,146.270004,134.089386,8886700
2020-02-04,147.779999,149.380005,146.880005,149.110001,136.692886,5621000
2020-02-05,150.210007,157.440002,150.149994,156.330002,143.311630,14386800
2020-02-06,156.820007,158.750000,155.419998,156.759995,143.705841,8400500
2020-02-07,154.550003,155.539993,152.919998,153.410004,142.103348,6423400
2020-02-10,152.970001,154.440002,151.580002,154.429993,143.048157,5239800
2020-02-11,155.119995,155.220001,152.729996,153.479996,142.168167,3835100
2020-02-12,153.750000,155.600006,153.520004,155.309998,143.863312,4437800
2020-02-13,154.369995,154.830002,153.410004,154.309998,142.936996,3820700
2020-02-14,154.419998,154.559998,149.770004,150.699997,139.593063,6099200
