StationID,Line,Station,PreStation,NextStation,Joint,Transit
Y07,環狀線,大坪林,,Y08,1,G04
Y08,環狀線,十四張,Y07,Y09,0,
Y09,環狀線,秀朗橋,Y08,Y10,0,
Y10,環狀線,景平,Y09,Y11,0,
Y11,環狀線,景安,Y10,Y12,1,O02
Y12,環狀線,中和,Y11,Y13,0,
Y13,環狀線,橋和,Y12,Y14,0,
Y14,環狀線,中原,Y13,Y15,0,
Y15,環狀線,板新,Y14,Y16,0,
Y16,環狀線,板橋,Y15,Y17,1,BL07
Y17,環狀線,新埔民生,Y16,Y18,1,BL06
Y18,環狀線,頭前庄,Y17,Y19,1,O17
Y19,環狀線,幸福,Y18,Y20,0,
Y20,環狀線,新北產業園區,Y19,,0,
