,Date,Open,High,Low,Close,Adj Close,Volume,Y,Volume,Stat
0,2017-10-18,157.119995,161.229996,156.949997,159.529999,132.191544,30490200,2017,30490200,H
0,2018-10-31,116.489998,116.5,114.089996,115.43,99.704704,21645000,2018,21645000,H
0,2019-01-23,131.369995,135.0,130.309998,132.889999,116.248016,22063700,2019,22063700,H
0,2020-10-08,130.860001,135.5,129.770004,131.490005,125.048523,25288900,2020,25288900,H
0,2017-10-18,157.119995,161.229996,156.949997,159.529999,132.191544,30490200,2017,30490200,L
0,2018-10-31,116.489998,116.5,114.089996,115.43,99.704704,21645000,2018,21645000,L
0,2019-01-23,131.369995,135.0,130.309998,132.889999,116.248016,22063700,2019,22063700,L
0,2020-10-08,130.860001,135.5,129.770004,131.490005,125.048523,25288900,2020,25288900,L
