Date	Open	High	Low	Close	AdjClose	Volume
Dec 30, 2019	8,783.50	8,809.75	8,691.25	8,733.75	8,733.75	404,047
Dec 27, 2019	8,801.00	8,843.50	8,769.00	8,783.25	8,783.25	322,888
Dec 26, 2019	8,730.25	8,805.00	8,729.00	8,804.25	8,804.25	170,684
Dec 24, 2019	-	-	-	-	-	-
Dec 23, 2019	8,710.75	8,743.25	8,707.50	8,726.50	8,726.50	194,915
Dec 20, 2019	8,651.00	8,707.46	8,638.25	8,707.46	8,707.46	307,870
Dec 19, 2019	8,598.00	8,655.50	8,580.25	8,642.50	8,642.50	65,776
Dec 18, 2019	8,569.75	8,612.00	8,567.75	8,590.25	8,590.25	98,301
Dec 17, 2019	8,576.00	8,596.75	8,563.25	8,576.25	8,576.25	145,053
Dec 16, 2019	8,507.00	8,587.75	8,503.25	8,576.00	8,576.00	192,050
Dec 13, 2019	8,485.00	8,523.75	8,435.50	8,494.00	8,494.00	335,038
Dec 12, 2019	8,407.50	8,497.00	8,381.00	8,465.25	8,465.25	554,338
Dec 11, 2019	8,366.25	8,411.00	8,345.00	8,405.50	8,405.50	304,183
Dec 10, 2019	8,354.50	8,398.00	8,297.00	8,363.75	8,363.75	403,364
Dec 09, 2019	8,401.50	8,427.25	8,347.00	8,356.00	8,356.00	292,419
Dec 06, 2019	8,311.00	8,409.50	8,307.75	8,400.25	8,400.25	302,782
Dec 05, 2019	8,296.25	8,340.00	8,273.25	8,309.25	8,309.25	370,987
Dec 04, 2019	8,258.75	8,319.25	8,220.50	8,295.25	8,295.25	413,647
Dec 03, 2019	8,313.75	8,337.50	8,168.25	8,251.25	8,251.25	614,317
Dec 02, 2019	8,424.50	8,457.25	8,276.50	8,316.00	8,316.00	559,474
Nov 29, 2019	-	-	-	-	-	-
Nov 27, 2019	8,402.75	8,458.75	8,397.00	8,454.75	8,454.75	240,866
Nov 26, 2019	8,374.25	8,422.00	8,366.25	8,400.75	8,400.75	285,726
Nov 25, 2019	8,303.25	8,379.25	8,296.50	8,376.50	8,376.50	259,485
Nov 22, 2019	8,280.25	8,313.50	8,233.25	8,280.50	8,280.50	344,497
Nov 21, 2019	8,261.50	8,308.00	8,240.00	8,274.50	8,274.50	411,833
Nov 20, 2019	8,333.00	8,348.00	8,231.00	8,291.75	8,291.75	526,978
Nov 19, 2019	8,335.00	8,379.00	8,312.50	8,341.50	8,341.50	373,942
Nov 18, 2019	8,318.75	8,367.00	8,279.25	8,333.50	8,333.50	370,609
Nov 15, 2019	8,267.50	8,324.00	8,261.25	8,318.75	8,318.75	367,145
Nov 14, 2019	8,269.00	8,285.50	8,216.25	8,265.50	8,265.50	381,593
Nov 13, 2019	8,273.00	8,281.50	8,220.00	8,265.75	8,265.75	382,042
Nov 12, 2019	8,253.25	8,300.25	8,228.50	8,275.00	8,275.00	316,729
Nov 11, 2019	8,257.25	8,261.75	8,206.50	8,249.75	8,249.75	229,844
Nov 08, 2019	8,230.00	8,264.25	8,190.00	8,257.25	8,257.25	326,871
Nov 07, 2019	8,213.75	8,282.25	8,190.00	8,230.50	8,230.50	366,403
Nov 06, 2019	8,208.00	8,228.25	8,161.00	8,207.25	8,207.25	314,414
Nov 05, 2019	8,221.50	8,248.00	8,193.25	8,210.75	8,210.75	305,795
Nov 04, 2019	8,165.00	8,233.75	8,164.00	8,215.75	8,215.75	325,479
Nov 01, 2019	8,094.25	8,168.00	8,084.50	8,160.25	8,160.25	348,326
Oct 31, 2019	8,128.50	8,139.00	8,046.00	8,090.25	8,090.25	448,458
Oct 30, 2019	8,057.25	8,141.00	8,020.50	8,111.25	8,111.25	381,307
Oct 29, 2019	8,109.25	8,118.75	8,050.75	8,055.25	8,055.25	351,246
Oct 28, 2019	8,048.00	8,127.50	8,048.00	8,094.75	8,094.75	309,114
Oct 25, 2019	7,928.50	8,041.50	7,918.50	8,035.75	8,035.75	348,318
Oct 24, 2019	7,922.75	7,984.00	7,913.25	7,928.25	7,928.25	380,967
Oct 23, 2019	7,846.25	7,918.25	7,810.25	7,901.50	7,901.50	348,671
Oct 22, 2019	7,949.25	7,988.75	7,837.25	7,858.75	7,858.75	377,545
Oct 21, 2019	7,874.25	7,951.75	7,865.75	7,948.25	7,948.25	275,031
Oct 18, 2019	7,953.75	7,958.50	7,835.75	7,880.75	7,880.75	437,753
Oct 17, 2019	7,954.25	7,994.75	7,922.00	7,952.75	7,952.75	368,623
Oct 16, 2019	7,960.00	7,960.25	7,907.50	7,948.50	7,948.50	347,550
Oct 15, 2019	7,862.25	7,971.75	7,859.75	7,959.75	7,959.75	347,657
Oct 14, 2019	7,850.25	7,894.75	7,807.00	7,857.50	7,857.50	311,101
Oct 11, 2019	7,783.25	7,918.50	7,767.00	7,859.00	7,859.00	490,521
Oct 10, 2019	7,702.25	7,798.75	7,583.25	7,760.25	7,760.25	535,042
Oct 09, 2019	7,621.00	7,732.00	7,604.50	7,699.75	7,699.75	404,170
Oct 08, 2019	7,736.00	7,784.50	7,613.50	7,622.00	7,622.00	552,145
Oct 07, 2019	7,712.50	7,799.75	7,682.50	7,740.00	7,740.00	381,262
Oct 04, 2019	7,656.75	7,773.75	7,624.00	7,767.25	7,767.25	420,539
Oct 03, 2019	7,551.50	7,661.50	7,474.25	7,658.50	7,658.50	582,820
Oct 02, 2019	7,711.00	7,730.50	7,525.50	7,546.25	7,546.25	586,568
Oct 01, 2019	7,784.00	7,841.50	7,691.00	7,695.50	7,695.50	478,759
Sep 30, 2019	7,735.50	7,788.75	7,705.75	7,770.50	7,770.50	337,872
Sep 27, 2019	7,787.00	7,822.00	7,641.00	7,701.25	7,701.25	598,171
Sep 26, 2019	7,822.50	7,842.75	7,734.75	7,787.25	7,787.25	489,320
Sep 25, 2019	7,738.25	7,844.25	7,663.00	7,820.25	7,820.25	540,081
Sep 24, 2019	7,869.00	7,904.75	7,701.75	7,735.25	7,735.25	609,261
Sep 23, 2019	7,839.25	7,897.50	7,807.75	7,850.50	7,850.50	348,180
Sep 20, 2019	7,899.50	7,932.75	7,890.75	7,899.48	7,899.48	425,158
Sep 19, 2019	7,898.75	7,951.00	7,830.50	7,896.25	7,896.25	69,135
Sep 18, 2019	7,890.75	7,906.75	7,790.00	7,894.25	7,894.25	122,281
Sep 17, 2019	7,864.00	7,897.50	7,828.00	7,890.25	7,890.25	147,539
Sep 16, 2019	7,856.75	7,873.25	7,776.25	7,856.50	7,856.50	199,321
Sep 13, 2019	7,916.25	7,958.50	7,881.75	7,886.00	7,886.00	243,852
Sep 12, 2019	7,893.25	7,982.75	7,886.75	7,921.50	7,921.50	448,979
Sep 11, 2019	7,818.50	7,905.00	7,786.50	7,889.75	7,889.75	383,871
Sep 10, 2019	7,834.00	7,857.75	7,744.25	7,815.00	7,815.00	446,533
Sep 09, 2019	7,857.00	7,887.00	7,798.50	7,830.75	7,830.75	372,953
Sep 06, 2019	7,853.50	7,895.00	7,838.25	7,857.75	7,857.75	356,484
Sep 05, 2019	7,722.00	7,886.75	7,717.25	7,855.50	7,855.50	478,413
Sep 04, 2019	7,614.25	7,730.00	7,608.50	7,722.75	7,722.75	399,672
