Date	Open	High	Low	Close	AdjClose	Volume
Dec 28, 2018	6,309.00	6,402.50	6,243.75	6,293.25	6,293.25	644,735
Dec 27, 2018	6,283.00	6,333.00	6,053.25	6,323.50	6,323.50	740,129
Dec 26, 2018	5,902.00	6,310.00	5,820.50	6,285.50	6,285.50	642,440
Dec 24, 2018	-	-	-	-	-	-
Dec 21, 2018	6,307.50	6,317.75	6,242.00	6,257.25	6,257.25	862,689
Dec 20, 2018	6,331.75	6,385.25	6,161.75	6,308.50	6,308.50	95,448
Dec 19, 2018	6,441.75	6,594.00	6,282.25	6,334.75	6,334.75	174,403
Dec 18, 2018	6,471.25	6,555.75	6,435.75	6,462.75	6,462.75	229,055
Dec 17, 2018	6,580.00	6,635.25	6,401.25	6,466.25	6,466.25	323,403
Dec 14, 2018	6,752.00	6,760.75	6,583.25	6,599.50	6,599.50	351,779
Dec 13, 2018	6,769.00	6,838.50	6,723.00	6,752.00	6,752.00	626,806
Dec 12, 2018	6,686.50	6,872.00	6,683.50	6,769.00	6,769.00	663,375
Dec 11, 2018	6,695.00	6,808.75	6,651.25	6,717.00	6,717.00	734,366
Dec 10, 2018	6,596.25	6,714.50	6,535.25	6,699.25	6,699.25	778,327
Dec 07, 2018	6,835.50	6,856.50	6,594.75	6,623.50	6,623.50	854,199
Dec 06, 2018	6,834.50	6,854.25	6,630.25	6,824.50	6,824.50	986,103
Dec 04, 2018	7,055.25	7,055.25	6,783.00	6,803.25	6,803.25	811,925
Dec 03, 2018	7,041.00	7,139.00	7,015.25	7,058.25	7,058.25	575,964
Nov 30, 2018	6,902.25	6,967.25	6,871.50	6,949.50	6,949.50	485,575
Nov 29, 2018	6,907.00	6,943.75	6,843.00	6,913.25	6,913.25	530,605
Nov 28, 2018	6,722.25	6,923.50	6,709.25	6,918.25	6,918.25	639,404
Nov 27, 2018	6,639.50	6,723.00	6,613.25	6,712.50	6,712.50	577,173
Nov 26, 2018	6,537.50	6,696.50	6,530.50	6,673.25	6,673.25	503,369
Nov 23, 2018	-	-	-	-	-	-
Nov 21, 2018	6,527.75	6,647.75	6,509.00	6,576.25	6,576.25	569,302
Nov 20, 2018	6,668.50	6,670.00	6,449.50	6,532.50	6,532.50	910,469
Nov 19, 2018	6,875.00	6,934.50	6,632.25	6,672.00	6,672.00	743,936
Nov 16, 2018	6,874.50	6,915.00	6,806.25	6,895.25	6,895.25	691,502
Nov 15, 2018	6,780.00	6,920.50	6,712.25	6,915.50	6,915.50	793,461
Nov 14, 2018	6,861.75	6,929.50	6,746.00	6,768.25	6,768.25	731,312
Nov 13, 2018	6,847.00	6,962.00	6,801.25	6,853.00	6,853.00	711,516
Nov 12, 2018	7,026.25	7,103.75	6,825.75	6,835.00	6,835.00	702,949
Nov 09, 2018	7,145.75	7,166.25	6,989.00	7,031.25	7,031.25	596,695
Nov 08, 2018	7,212.75	7,231.00	7,132.00	7,166.00	7,166.00	477,828
Nov 07, 2018	7,011.50	7,225.00	6,971.50	7,218.50	7,218.50	621,601
Nov 06, 2018	6,947.25	7,034.75	6,906.75	7,016.50	7,016.50	514,296
Nov 05, 2018	6,972.75	6,998.50	6,865.00	6,949.50	6,949.50	506,045
Nov 02, 2018	6,987.25	7,143.25	6,911.25	6,980.25	6,980.25	793,339
Nov 01, 2018	6,960.00	7,079.75	6,936.75	7,077.75	7,077.75	589,071
Oct 31, 2018	6,857.00	7,039.25	6,816.75	6,975.50	6,975.50	755,201
Oct 30, 2018	6,719.25	6,849.25	6,661.00	6,815.25	6,815.25	832,546
Oct 29, 2018	6,898.00	6,991.50	6,580.50	6,736.25	6,736.25	905,327
Oct 26, 2018	6,882.00	6,986.50	6,734.25	6,893.25	6,893.25	1,069,548
Oct 25, 2018	6,878.50	7,075.75	6,816.75	6,926.50	6,926.50	793,502
Oct 24, 2018	7,136.25	7,175.00	6,785.75	6,836.25	6,836.25	895,420
Oct 23, 2018	7,155.00	7,164.00	6,944.00	7,140.25	7,140.25	825,811
Oct 22, 2018	7,085.75	7,210.50	7,057.00	7,155.25	7,155.25	650,331
Oct 19, 2018	7,154.00	7,244.25	7,092.75	7,106.50	7,106.50	661,050
Oct 18, 2018	7,307.75	7,309.50	7,094.50	7,137.75	7,137.75	705,908
Oct 17, 2018	7,339.75	7,368.50	7,221.50	7,313.25	7,313.25	663,303
Oct 16, 2018	7,068.25	7,357.50	7,063.50	7,353.75	7,353.75	614,355
Oct 15, 2018	7,176.75	7,179.00	7,060.75	7,076.50	7,076.50	641,765
Oct 12, 2018	7,040.75	7,197.75	7,034.25	7,172.25	7,172.25	772,623
Oct 11, 2018	7,010.25	7,138.00	6,907.75	7,031.00	7,031.00	1,146,270
Oct 10, 2018	7,394.75	7,412.00	7,000.00	7,032.00	7,032.00	924,204
Oct 09, 2018	7,391.00	7,455.75	7,337.00	7,399.00	7,399.00	583,403
Oct 08, 2018	7,443.25	7,453.25	7,286.50	7,391.75	7,391.75	615,687
Oct 05, 2018	7,521.00	7,540.00	7,347.00	7,436.00	7,436.00	735,015
Oct 04, 2018	7,651.00	7,651.00	7,456.50	7,514.25	7,514.25	704,908
Oct 03, 2018	7,656.25	7,703.75	7,641.50	7,664.75	7,664.75	394,538
Oct 02, 2018	7,675.00	7,712.75	7,630.25	7,652.75	7,652.75	392,577
Oct 01, 2018	7,672.00	7,728.75	7,652.00	7,675.50	7,675.50	358,159
Sep 28, 2018	7,663.50	7,677.00	7,617.00	7,655.25	7,655.25	381,496
Sep 27, 2018	7,590.25	7,686.25	7,586.00	7,657.25	7,657.25	377,694
Sep 26, 2018	7,598.00	7,668.00	7,577.50	7,590.25	7,590.25	405,833
Sep 25, 2018	7,591.00	7,603.25	7,550.50	7,595.25	7,595.25	318,332
Sep 24, 2018	7,539.75	7,594.00	7,473.75	7,586.00	7,586.00	390,762
Sep 21, 2018	7,581.50	7,619.25	7,571.00	7,589.00	7,589.00	371,830
Sep 20, 2018	7,500.50	7,587.50	7,485.25	7,579.75	7,579.75	74,390
Sep 19, 2018	7,499.25	7,517.25	7,442.50	7,497.50	7,497.50	95,710
Sep 18, 2018	7,434.25	7,535.25	7,393.50	7,495.25	7,495.25	171,310
Sep 17, 2018	7,534.00	7,547.25	7,429.50	7,436.25	7,436.25	197,770
Sep 14, 2018	7,563.50	7,598.75	7,515.25	7,544.75	7,544.75	237,770
Sep 13, 2018	7,483.25	7,583.25	7,470.00	7,564.50	7,564.50	459,821
Sep 12, 2018	7,515.25	7,541.00	7,425.00	7,485.75	7,485.75	586,137
Sep 11, 2018	7,460.50	7,524.75	7,404.50	7,512.00	7,512.00	467,702
Sep 10, 2018	7,433.00	7,483.50	7,414.00	7,460.25	7,460.25	418,797
