Date	Open	High	Low	Close	AdjClose	Volume
Dec 29, 2017	6,444.50	6,467.75	6,383.25	6,408.75	6,408.75	210,114
Dec 28, 2017	6,452.25	6,477.50	6,442.25	6,446.25	6,446.25	138,254
Dec 27, 2017	6,461.25	6,475.50	6,442.00	6,454.00	6,454.00	158,481
Dec 26, 2017	6,482.50	6,492.00	6,432.25	6,460.00	6,460.00	135,130
Dec 22, 2017	6,489.75	6,501.75	6,467.50	6,483.75	6,483.75	130,810
Dec 21, 2017	6,486.75	6,520.75	6,476.00	6,492.25	6,492.25	211,561
Dec 20, 2017	6,504.00	6,529.00	6,463.25	6,489.00	6,489.00	276,115
Dec 19, 2017	6,535.00	6,545.75	6,479.75	6,500.75	6,500.75	272,966
Dec 18, 2017	6,498.00	6,542.00	6,497.50	6,535.25	6,535.25	220,351
Dec 15, 2017	6,389.50	6,500.00	6,384.00	6,478.00	6,478.00	288,903
Dec 14, 2017	6,396.75	6,425.00	6,385.50	6,391.75	6,391.75	79,395
Dec 13, 2017	6,385.00	6,418.75	6,365.50	6,398.50	6,398.50	109,048
Dec 12, 2017	6,404.25	6,407.75	6,371.75	6,384.25	6,384.25	134,498
Dec 11, 2017	6,343.00	6,409.75	6,339.75	6,397.50	6,397.50	148,290
Dec 08, 2017	6,322.25	6,379.00	6,320.50	6,340.00	6,340.00	180,084
Dec 07, 2017	6,298.00	6,335.50	6,288.75	6,323.00	6,323.00	325,352
Dec 06, 2017	6,269.00	6,307.00	6,232.50	6,293.00	6,293.00	363,675
Dec 05, 2017	6,255.50	6,339.75	6,231.75	6,271.75	6,271.75	443,788
Dec 04, 2017	6,371.00	6,391.75	6,250.75	6,265.25	6,265.25	520,744
Dec 01, 2017	6,353.75	6,369.00	6,246.00	6,346.25	6,346.25	608,005
Nov 30, 2017	6,306.50	6,377.50	6,289.00	6,369.00	6,369.00	457,769
Nov 29, 2017	6,423.50	6,428.50	6,283.00	6,305.50	6,305.50	625,761
Nov 28, 2017	6,413.25	6,429.50	6,388.75	6,420.25	6,420.25	307,329
Nov 27, 2017	6,414.25	6,424.50	6,394.75	6,413.25	6,413.25	204,123
Nov 24, 2017	-	-	-	-	-	-
Nov 22, 2017	6,381.25	6,395.25	6,375.25	6,389.50	6,389.50	116,314
Nov 21, 2017	6,315.75	6,385.25	6,311.25	6,379.50	6,379.50	216,030
Nov 20, 2017	6,312.00	6,329.25	6,291.25	6,316.00	6,316.00	203,721
Nov 17, 2017	6,342.75	6,351.75	6,308.50	6,313.25	6,313.25	275,846
Nov 16, 2017	6,264.50	6,358.50	6,260.75	6,341.00	6,341.00	339,694
Nov 15, 2017	6,293.50	6,294.75	6,230.75	6,266.25	6,266.25	399,624
Nov 14, 2017	6,310.75	6,318.25	6,262.75	6,293.50	6,293.50	342,800
Nov 13, 2017	6,312.50	6,325.00	6,281.00	6,312.00	6,312.00	229,366
Nov 10, 2017	6,312.75	6,321.00	6,281.00	6,309.25	6,309.25	266,728
Nov 09, 2017	6,342.25	6,351.50	6,244.75	6,314.50	6,314.50	550,267
Nov 08, 2017	6,310.50	6,345.50	6,301.50	6,341.50	6,341.50	218,248
Nov 07, 2017	6,311.50	6,331.50	6,296.25	6,316.00	6,316.00	284,157
Nov 06, 2017	6,285.25	6,317.50	6,268.00	6,313.50	6,313.50	218,392
Nov 03, 2017	6,252.50	6,296.75	6,236.00	6,290.50	6,290.50	301,691
Nov 02, 2017	6,230.00	6,263.00	6,192.50	6,235.75	6,235.75	356,528
Nov 01, 2017	6,249.75	6,284.50	6,223.50	6,240.75	6,240.75	346,061
Oct 31, 2017	6,221.75	6,258.75	6,219.25	6,249.75	6,249.75	239,132
Oct 30, 2017	6,209.50	6,251.50	6,202.25	6,224.25	6,224.25	360,344
Oct 27, 2017	6,092.00	6,225.75	6,078.75	6,215.25	6,215.25	435,844
Oct 26, 2017	6,065.00	6,096.25	6,035.00	6,084.75	6,084.75	320,283
Oct 25, 2017	6,073.50	6,087.50	6,011.00	6,064.50	6,064.50	436,671
Oct 24, 2017	6,064.75	6,092.50	6,057.00	6,079.50	6,079.50	235,526
Oct 23, 2017	6,109.50	6,128.00	6,060.50	6,064.75	6,064.75	247,882
Oct 20, 2017	6,097.75	6,129.50	6,090.50	6,111.00	6,111.00	222,217
Oct 19, 2017	6,121.25	6,121.75	6,051.25	6,097.75	6,097.75	332,212
Oct 18, 2017	6,122.25	6,132.75	6,108.00	6,119.25	6,119.25	180,414
Oct 17, 2017	6,119.75	6,125.50	6,105.00	6,123.75	6,123.75	154,430
Oct 16, 2017	6,101.50	6,121.50	6,098.00	6,120.25	6,120.25	167,591
Oct 13, 2017	6,073.00	6,104.00	6,068.50	6,099.75	6,099.75	178,530
Oct 12, 2017	6,083.50	6,097.00	6,066.50	6,074.75	6,074.75	200,082
Oct 11, 2017	6,064.50	6,086.00	6,053.25	6,082.50	6,082.50	180,901
Oct 10, 2017	6,062.25	6,088.50	6,039.00	6,065.25	6,065.25	238,961
Oct 09, 2017	6,062.50	6,084.00	6,054.75	6,064.50	6,064.50	155,751
Oct 06, 2017	6,062.25	6,071.50	6,037.50	6,064.25	6,064.25	232,608
Oct 05, 2017	6,005.00	6,068.00	6,001.00	6,065.75	6,065.75	254,723
Oct 04, 2017	5,999.00	6,015.50	5,979.50	6,004.00	6,004.00	236,714
Oct 03, 2017	5,985.50	6,004.75	5,978.75	5,998.00	5,998.00	207,901
Oct 02, 2017	5,984.00	6,009.75	5,958.50	5,980.50	5,980.50	269,518
Sep 29, 2017	5,939.25	5,985.50	5,933.00	5,982.50	5,982.50	275,661
Sep 28, 2017	5,936.00	5,948.25	5,911.25	5,938.50	5,938.50	268,097
Sep 27, 2017	5,889.75	5,963.00	5,886.50	5,941.00	5,941.00	349,282
Sep 26, 2017	5,878.75	5,912.50	5,862.75	5,892.50	5,892.50	343,472
Sep 25, 2017	5,930.75	5,954.25	5,842.00	5,876.50	5,876.50	447,828
Sep 22, 2017	5,944.25	5,945.50	5,911.00	5,935.75	5,935.75	272,649
Sep 21, 2017	5,976.00	5,980.25	5,919.25	5,945.25	5,945.25	343,404
Sep 20, 2017	5,997.00	6,000.50	5,930.50	5,978.50	5,978.50	347,504
Sep 19, 2017	5,989.75	6,004.75	5,975.00	5,997.00	5,997.00	212,483
Sep 18, 2017	5,999.25	6,018.25	5,967.25	5,986.75	5,986.75	235,721
Sep 15, 2017	5,965.25	5,978.25	5,945.25	5,974.00	5,974.00	268,013
Sep 14, 2017	6,001.75	6,002.50	5,963.50	5,966.25	5,966.25	72,484
Sep 13, 2017	5,999.00	6,005.25	5,975.50	6,002.00	6,002.00	76,177
Sep 12, 2017	5,981.25	6,004.00	5,967.50	5,996.50	5,996.50	125,609
Sep 11, 2017	5,928.75	5,991.75	5,928.75	5,982.50	5,982.50	160,000
Sep 08, 2017	5,969.25	5,972.00	5,907.50	5,916.25	5,916.25	190,958
Sep 07, 2017	5,952.00	5,981.50	5,932.25	5,970.00	5,970.00	301,526
Sep 06, 2017	5,943.50	5,965.75	5,909.25	5,955.00	5,955.00	335,781
Sep 05, 2017	5,956.50	5,984.75	5,889.50	5,939.25	5,939.25	485,650
Sep 01, 2017	5,994.00	6,019.75	5,973.25	5,988.25	5,988.25	229,855
Aug 31, 2017	5,936.25	5,998.00	5,932.50	5,990.75	5,990.75	273,833
Aug 30, 2017	5,869.75	5,944.00	5,862.50	5,935.00	5,935.00	273,971
Aug 29, 2017	5,820.00	5,875.50	5,777.25	5,869.75	5,869.75	334,338
Aug 28, 2017	5,819.75	5,856.00	5,801.25	5,844.75	5,844.75	216,424
Aug 25, 2017	5,845.25	5,874.00	5,816.50	5,825.00	5,825.00	300,167
Aug 24, 2017	5,845.75	5,874.25	5,803.25	5,840.50	5,840.50	372,774
Aug 23, 2017	5,878.25	5,884.00	5,841.50	5,848.00	5,848.00	301,682
Aug 22, 2017	5,795.25	5,882.25	5,794.25	5,878.50	5,878.50	307,895
Aug 21, 2017	5,805.00	5,816.75	5,752.25	5,794.00	5,794.00	360,383
Aug 18, 2017	5,792.25	5,835.00	5,772.50	5,801.25	5,801.25	443,313
Aug 17, 2017	5,920.00	5,923.75	5,786.50	5,800.25	5,800.25	511,900
Aug 16, 2017	5,915.25	5,949.50	5,902.00	5,923.50	5,923.50	293,910
Aug 15, 2017	5,913.50	5,945.00	5,895.50	5,912.00	5,912.00	249,827
Aug 14, 2017	5,837.25	5,916.75	5,837.25	5,910.00	5,910.00	261,541
Aug 11, 2017	5,769.00	5,845.75	5,761.00	5,838.25	5,838.25	394,754
Aug 10, 2017	5,922.50	5,923.00	5,767.25	5,789.75	5,789.75	548,167
Aug 09, 2017	5,913.25	5,924.50	5,861.75	5,922.50	5,922.50	377,648
Aug 08, 2017	5,935.00	5,972.75	5,907.50	5,918.00	5,918.00	305,079
Aug 07, 2017	5,900.00	5,937.75	5,898.00	5,934.00	5,934.00	165,201
